,Clip,Completeness,Dist_Thresh,FM,FPF,FPS,IOU_Thresh,ML,MT,N_frames,N_match,N_objects,PT,Precision,Recall,Res,SODP,SOTA,SOTP,Tracker,fn_count,fp_count,fp_thresh_count,tn_count,tp_count
0,Ski01,0.58,0.1,0.0,0.0,11.22,0.4,0,0,1353.0,1352,1352,1,1.0,1.0,1280,0.424,1.0,0.0089,mil,0,0,0,0,1352
1,Ski01,1.0,0.1,0.88,0.0,31.99,0.4,0,1,1353.0,165,1352,0,1.0,0.122,1280,0.6996,0.122,0.0039,kcf,1187,0,0,0,165
2,Ski01,0.0,0.1,0.9,0.9032,9.05,0.4,1,0,1353.0,1352,1352,0,0.0962,0.0962,1280,0.0,0.0962,0.37799999999999995,tld,0,0,1222,0,130
3,Ski01,0.74,0.1,0.1,0.099,28.44,0.4,0,0,1353.0,1352,1352,1,0.9009,0.9009,1280,0.4732,0.9009,0.0234,medianflow,0,0,134,0,1218
4,Ski01,0.13,0.1,0.82,0.8226,6.24,0.4,1,0,1353.0,1352,1352,0,0.1768,0.1768,1280,0.0883,0.1768,1.9771,goturn,0,0,1113,0,239
5,Ski01,0.97,0.1,0.92,0.0,33.11,0.4,0,1,1353.0,113,1352,0,1.0,0.0836,1280,0.6234,0.0836,0.0039,mosse,1239,0,0,0,113
6,Ski01,0.88,0.1,0.0,0.0,15.58,0.4,0,1,1353.0,1352,1352,0,1.0,1.0,1280,0.5538,1.0,0.0044,csrt,0,0,0,0,1352
7,Slalom01,0.2,0.1,0.59,0.58,14.44,0.4,0,0,100.0,99,99,1,0.4141,0.4141,1280,0.1435,0.4141,0.1359,mil,0,0,58,0,41
8,Slalom01,1.0,0.1,0.93,0.0,65.42,0.4,0,1,100.0,7,99,0,1.0,0.0707,1280,0.8193,0.0707,0.0017,kcf,92,0,0,0,7
9,Slalom01,0.16,0.1,0.53,0.5,8.43,0.4,1,0,100.0,97,99,0,0.4845,0.4747,1280,0.1016,0.4747,0.1132,tld,2,0,50,0,47
10,Slalom01,0.94,0.1,0.83,0.0,56.25,0.4,0,1,100.0,17,99,0,1.0,0.1717,1280,0.6451,0.1717,0.003,medianflow,82,0,0,0,17
11,Slalom01,0.03,0.1,0.64,0.63,11.57,0.4,1,0,100.0,99,99,0,0.3636,0.3636,1280,0.0313,0.3636,0.1362,goturn,0,0,63,0,36
12,Slalom01,1.0,0.1,0.99,0.0,69.86,0.4,0,1,100.0,1,99,0,1.0,0.0101,1280,0.867,0.0101,0.0004,mosse,98,0,0,0,1
13,Slalom01,0.21,0.1,0.58,0.57,24.17,0.4,0,0,100.0,99,99,1,0.4242,0.4242,1280,0.1587,0.4242,0.1383,csrt,0,0,57,0,42
14,Bike09,0.34,0.1,0.58,0.6728,18.86,0.4,0,0,437.0,339,339,1,0.3257,0.4189,720,0.20600000000000002,0.4189,0.3261,mil,0,97,197,0,142
15,Bike09,1.0,0.1,0.98,0.0,78.69,0.4,0,1,437.0,7,339,0,1.0,0.0206,720,0.6264,0.0206,0.0137,kcf,332,0,0,97,7
16,Bike09,0.09,0.1,0.8,0.8421,23.41,0.4,1,0,437.0,339,339,0,0.156,0.2006,720,0.0647,0.2006,0.3158,tld,0,97,271,0,68
17,Bike09,0.76,0.1,0.6,0.1487,87.49,0.4,0,0,437.0,180,339,1,0.6782,0.4041,720,0.4735,0.4041,0.1023,medianflow,159,22,43,75,137
18,Bike09,0.66,0.1,0.23,0.4005,15.22,0.4,0,0,437.0,339,339,1,0.5986,0.7699,720,0.4422,0.7699,0.0855,goturn,0,97,78,0,261
19,Bike09,0.98,0.1,0.68,0.0,70.65,0.4,0,1,437.0,108,339,0,1.0,0.3186,720,0.595,0.3186,0.0129,mosse,231,0,0,97,108
20,Bike09,0.97,0.1,0.58,0.0343,41.36,0.4,0,1,437.0,143,339,0,0.9051,0.4218,720,0.6889,0.4218,0.0154,csrt,196,15,0,82,143
21,Bike08,0.34,0.1,0.0,0.0036,17.59,0.4,0,0,559.0,556,556,1,0.9964,1.0,720,0.3709,1.0,0.0316,mil,0,2,0,0,556
22,Bike08,0.99,0.1,0.72,0.0,87.8,0.4,0,1,559.0,154,556,0,1.0,0.27699999999999997,720,0.6385,0.27699999999999997,0.0107,kcf,402,0,0,2,154
23,Bike08,0.76,0.1,0.02,0.0233,21.86,0.4,0,0,559.0,556,556,1,0.9767,0.9802,720,0.4803,0.9802,0.0299,tld,0,2,11,0,545
24,Bike08,0.09,0.1,0.81,0.8086,86.74,0.4,1,0,559.0,555,556,0,0.1885,0.1888,720,0.0811,0.1888,0.3071,medianflow,1,2,450,0,105
25,Bike08,0.0,0.1,0.99,0.9893,16.89,0.4,1,0,559.0,556,556,0,0.009000000000000001,0.009000000000000001,720,0.0035,0.009000000000000001,0.5138,goturn,0,2,551,0,5
26,Bike08,0.72,0.1,0.59,0.0,106.2,0.4,0,0,559.0,228,556,1,1.0,0.4101,720,0.4918,0.4101,0.0167,mosse,328,0,0,2,228
27,Bike08,0.47,0.1,0.0,0.0036,30.49,0.4,0,0,559.0,556,556,1,0.9964,1.0,720,0.4626,1.0,0.0142,csrt,0,2,0,0,556
28,Bike05,0.58,0.1,0.0,0.0,13.91,0.4,0,0,158.0,157,157,1,1.0,1.0,1280,0.4728,1.0,0.0224,mil,0,0,0,0,157
29,Bike05,0.84,0.1,0.34,0.0,41.01,0.4,0,1,158.0,103,157,0,1.0,0.6561,1280,0.5814,0.6561,0.0064,kcf,54,0,0,0,103
30,Bike05,0.8,0.1,0.11,0.1139,12.88,0.4,0,0,158.0,157,157,1,0.8854,0.8854,1280,0.4963,0.8854,0.0631,tld,0,0,18,0,139
31,Bike05,0.66,0.1,0.3,0.2405,47.86,0.4,0,0,158.0,148,157,1,0.7432,0.7006,1280,0.4912,0.7006,0.0911,medianflow,9,0,38,0,110
32,Bike05,0.17,0.1,0.45,0.4494,3.13,0.4,1,0,158.0,157,157,0,0.5478,0.5478,1280,0.1787,0.5478,0.7346,goturn,0,0,71,0,86
33,Bike05,0.55,0.1,0.0,0.0,55.52,0.4,0,0,158.0,157,157,1,1.0,1.0,1280,0.4801,1.0,0.0089,mosse,0,0,0,0,157
34,Bike05,1.0,0.1,0.0,0.0,16.95,0.4,0,1,158.0,157,157,0,1.0,1.0,1280,0.7078,1.0,0.0054,csrt,0,0,0,0,157
35,Bike04,0.98,0.1,0.0,0.0,13.84,0.4,0,1,95.0,94,94,0,1.0,1.0,1280,0.6063,1.0,0.0045,mil,0,0,0,0,94
36,Bike04,1.0,0.1,0.9,0.0,48.65,0.4,0,1,95.0,9,94,0,1.0,0.0957,1280,0.7904,0.0957,0.0023,kcf,85,0,0,0,9
