,Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
0,Ski01,1280,mil,0.4,0.1,0.0089,1.0,1.0,1.0,0.0,0.424,0,1,0,0.58,0.0,11.22,0,0,1352,0,0,1352,1353.0,1352
1,Ski01,1280,kcf,0.4,0.1,0.0039,0.122,0.122,1.0,0.0,0.6996,1,0,0,1.0,0.88,31.99,0,0,165,1187,0,1352,1353.0,165
2,Ski01,1280,tld,0.4,0.1,0.37799999999999995,0.0962,0.0962,0.0962,0.9032,0.0,0,0,1,0.0,0.9,9.05,0,1222,130,0,0,1352,1353.0,1352
3,Ski01,1280,medianflow,0.4,0.1,0.0234,0.9009,0.9009,0.9009,0.099,0.4732,0,1,0,0.74,0.1,28.44,0,134,1218,0,0,1352,1353.0,1352
4,Ski01,1280,goturn,0.4,0.1,1.9771,0.1768,0.1768,0.1768,0.8226,0.0883,0,0,1,0.13,0.82,6.24,0,1113,239,0,0,1352,1353.0,1352
5,Ski01,1280,mosse,0.4,0.1,0.0039,0.0836,0.0836,1.0,0.0,0.6234,1,0,0,0.97,0.92,33.11,0,0,113,1239,0,1352,1353.0,113
6,Ski01,1280,csrt,0.4,0.1,0.0044,1.0,1.0,1.0,0.0,0.5538,1,0,0,0.88,0.0,15.58,0,0,1352,0,0,1352,1353.0,1352
7,Slalom01,1280,mil,0.4,0.1,0.1359,0.4141,0.4141,0.4141,0.58,0.1435,0,1,0,0.2,0.59,14.44,0,58,41,0,0,99,100.0,99
8,Slalom01,1280,kcf,0.4,0.1,0.0017,0.0707,0.0707,1.0,0.0,0.8193,1,0,0,1.0,0.93,65.42,0,0,7,92,0,99,100.0,7
9,Slalom01,1280,tld,0.4,0.1,0.1132,0.4747,0.4747,0.4845,0.5,0.1016,0,0,1,0.16,0.53,8.43,0,50,47,2,0,99,100.0,97
10,Slalom01,1280,medianflow,0.4,0.1,0.003,0.1717,0.1717,1.0,0.0,0.6451,1,0,0,0.94,0.83,56.25,0,0,17,82,0,99,100.0,17
11,Slalom01,1280,goturn,0.4,0.1,0.1362,0.3636,0.3636,0.3636,0.63,0.0313,0,0,1,0.03,0.64,11.57,0,63,36,0,0,99,100.0,99
12,Slalom01,1280,mosse,0.4,0.1,0.0004,0.0101,0.0101,1.0,0.0,0.867,1,0,0,1.0,0.99,69.86,0,0,1,98,0,99,100.0,1
