frame,class_id,conf,x1,y1,w,h
1,1,0.99554044008255,971,601,110,119
2,1,0.9969671368598938,969,603,116,128
2,33,0.8328508734703064,1154,454,44,43
2,9,0.7981383204460144,467,702,117,77
3,1,0.9904177784919739,956,600,173,154
3,2,0.9157760739326477,840,875,197,200
3,33,0.7793761491775513,1161,451,43,43
4,1,0.9865013957023621,955,600,177,161
4,38,0.8771803975105286,924,644,205,131
5,1,0.9919247031211853,954,605,189,156
6,1,0.9966109395027161,966,603,162,147
7,1,0.9938474297523499,971,604,151,141
8,1,0.9873461127281189,966,602,127,147
8,38,0.7089460492134094,1126,628,152,72
9,1,0.9884682297706604,967,598,136,164
10,1,0.9704532027244568,969,602,127,155
11,1,0.9936328530311584,972,600,121,148
12,1,0.9977095127105713,969,603,132,153
13,1,0.9972448348999023,976,604,136,140
14,1,0.9903627038002014,967,605,166,176
15,1,0.9806390404701233,979,607,129,156
16,1,0.8637530207633972,976,612,135,158
16,33,0.7646238803863525,1234,391,40,42
17,1,0.990845263004303,985,614,110,137
18,1,0.9933788776397705,983,611,115,153
18,9,0.81013423204422,660,648,114,66
19,1,0.9977200627326965,989,613,106,133
20,1,0.9923295378684998,998,622,96,121
20,37,0.8659268021583557,959,670,177,153
21,1,0.9669620990753174,1002,621,102,143
21,37,0.861201822757721,961,667,176,161
21,33,0.7317476868629456,1251,365,39,42
22,1,0.7942941188812256,995,630,149,182
23,1,0.9418858885765076,1001,624,112,163
24,1,0.9609517455101013,1004,630,98,147
24,37,0.8281291723251343,968,663,172,166
25,37,0.9316584467887878,970,647,161,182
25,9,0.8880451917648315,732,621,102,48
25,1,0.8829915523529053,1006,631,96,149
26,1,0.9800763726234436,995,632,107,146
26,37,0.9328359961509705,970,674,171,155
26,9,0.8318948745727539,734,602,110,63
27,1,0.9899157881736755,993,629,120,158
28,1,0.9440016150474548,994,630,110,139
28,37,0.8778917789459229,970,660,159,182
29,1,0.960721492767334,996,630,113,169
30,1,0.9774532318115234,992,629,119,162
31,1,0.9674808979034424,994,626,119,152
31,9,0.8529009222984314,769,563,103,54
