frame;x1;y1;w;h
1;0.4359375;0.424074074;0.06875;0.080555556
2;0.4234375;0.433333333;0.069270833;0.090740741
3;0.423958333;0.42962963;0.066666667;0.102777778
4;0.4234375;0.432407407;0.06875;0.093518519
5;0.41875;0.435185185;0.066666667;0.077777778
6;0.416145833;0.435185185;0.06875;0.081481481
7;0.413541667;0.437962963;0.063541667;0.078703704
8;0.413541667;0.437962963;0.063541667;0.078703704
9;0.413541667;0.437962963;0.063541667;0.078703704
10;0.409895833;0.44537037;0.061979167;0.076851852
11;0.409895833;0.44537037;0.061979167;0.075925926
22;0.391145833;0.453703704;0.0515625;0.062037037
23;0.391145833;0.453703704;0.0515625;0.062037037
24;0.391145833;0.453703704;0.0515625;0.062037037
35;0.395833333;0.465740741;0.036458333;0.044444444
36;0.395833333;0.465740741;0.036458333;0.044444444
42;0.3984375;0.464814815;0.0359375;0.053703704
43;0.397916667;0.464814815;0.036458333;0.053703704
44;0.397916667;0.464814815;0.036458333;0.053703704
45;0.405729167;0.466666667;0.03125;0.046296296
46;0.405729167;0.466666667;0.03125;0.046296296
47;0.409895833;0.465740741;0.030729167;0.049074074
48;0.409895833;0.465740741;0.030729167;0.049074074
49;0.409895833;0.465740741;0.030729167;0.049074074
52;0.410416667;0.467592593;0.036979167;0.05
53;0.410416667;0.467592593;0.036979167;0.049074074
54;0.410416667;0.467592593;0.036979167;0.05
55;0.419270833;0.466666667;0.033333333;0.049074074
56;0.419791667;0.466666667;0.0328125;0.049074074
57;0.413541667;0.462962963;0.044270833;0.060185185
58;0.413541667;0.462962963;0.044270833;0.060185185
59;0.413541667;0.462962963;0.044270833;0.060185185
60;0.422395833;0.463888889;0.042708333;0.062037037
61;0.422395833;0.463888889;0.042708333;0.062037037
62;0.423958333;0.460185185;0.047395833;0.067592593
63;0.423958333;0.460185185;0.047395833;0.067592593
64;0.423958333;0.460185185;0.047395833;0.067592593
65;0.425;0.460185185;0.053645833;0.068518519
66;0.425;0.460185185;0.053645833;0.068518519
72;0.441145833;0.459259259;0.069270833;0.078703704
73;0.441145833;0.459259259;0.069270833;0.078703704
74;0.441145833;0.459259259;0.06875;0.078703704
77;0.453645833;0.462037037;0.072395833;0.07962963
78;0.453645833;0.462037037;0.072395833;0.07962963
80;0.465104167;0.464814815;0.075;0.080555556
81;0.461979167;0.457407407;0.078125;0.091666667
87;0.485416667;0.464814815;0.076041667;0.089814815
88;0.484895833;0.464814815;0.0765625;0.089814815
89;0.484895833;0.464814815;0.0765625;0.089814815
97;0.5421875;0.478703704;0.055729167;0.060185185
98;0.5421875;0.478703704;0.055729167;0.060185185
99;0.541666667;0.478703704;0.05625;0.061111111
102;0.555729167;0.487037037;0.056770833;0.058333333
103;0.555729167;0.487037037;0.056770833;0.058333333
104;0.555729167;0.487037037;0.056770833;0.058333333
105;0.5640625;0.489814815;0.051041667;0.051851852
106;0.5640625;0.489814815;0.050520833;0.051851852
107;0.5703125;0.488888889;0.049479167;0.05
108;0.5703125;0.488888889;0.049479167;0.05
109;0.569791667;0.489814815;0.050520833;0.049074074
110;0.574479167;0.487962963;0.051041667;0.056481481
111;0.574479167;0.487962963;0.051041667;0.056481481
112;0.5796875;0.487962963;0.046875;0.053703704
113;0.5796875;0.487962963;0.046875;0.053703704
114;0.5796875;0.487962963;0.046875;0.05462963
115;0.584375;0.488888889;0.045833333;0.05
116;0.582291667;0.487962963;0.046354167;0.055555556
117;0.580208333;0.487037037;0.057291667;0.058333333
118;0.583854167;0.487962963;0.0515625;0.052777778
119;0.58125;0.487962963;0.055729167;0.056481481
120;0.5875;0.486111111;0.058333333;0.056481481
121;0.588020833;0.485185185;0.0578125;0.057407407
122;0.584895833;0.484259259;0.0578125;0.05462963
123;0.585416667;0.484259259;0.057291667;0.05462963
124;0.584895833;0.484259259;0.0578125;0.05462963
125;0.580729167;0.482407407;0.064583333;0.056481481
126;0.581770833;0.482407407;0.066666667;0.058333333
127;0.58125;0.478703704;0.057291667;0.059259259
128;0.580729167;0.478703704;0.058333333;0.059259259
129;0.58125;0.478703704;0.057291667;0.059259259
130;0.579166667;0.475925926;0.065104167;0.064814815
131;0.579166667;0.475925926;0.065104167;0.064814815
132;0.573958333;0.476851852;0.078645833;0.062962963
133;0.575520833;0.473148148;0.0671875;0.066666667
134;0.573958333;0.476851852;0.078645833;0.062962963
135;0.571354167;0.475925926;0.083333333;0.067592593
136;0.572916667;0.472222222;0.079166667;0.066666667
140;0.565104167;0.468518519;0.0734375;0.059259259
141;0.565104167;0.468518519;0.0734375;0.059259259
142;0.557291667;0.464814815;0.080208333;0.07037037
143;0.557291667;0.464814815;0.0796875;0.07037037
144;0.556770833;0.465740741;0.079166667;0.069444444
145;0.554166667;0.463888889;0.085416667;0.071296296
146;0.554166667;0.463888889;0.085416667;0.071296296
155;0.5265625;0.444444444;0.053645833;0.060185185
156;0.526041667;0.444444444;0.054166667;0.060185185
157;0.528125;0.443518519;0.0390625;0.05
158;0.528125;0.443518519;0.0390625;0.05
159;0.530208333;0.442592593;0.036979167;0.051851852
160;0.5171875;0.437962963;0.042708333;0.05462963
161;0.5171875;0.437962963;0.042708333;0.05462963
162;0.509895833;0.433333333;0.041666667;0.059259259
163;0.509895833;0.433333333;0.041666667;0.059259259
164;0.509895833;0.434259259;0.041666667;0.058333333
165;0.4765625;0.431481481;0.065104167;0.075
166;0.4765625;0.431481481;0.065104167;0.075
167;0.461458333;0.426851852;0.070833333;0.087962963
168;0.461458333;0.426851852;0.070833333;0.087962963
169;0.458854167;0.426851852;0.072916667;0.086111111
170;0.447916667;0.419444444;0.075520833;0.09537037
171;0.447916667;0.419444444;0.075520833;0.09537037
175;0.446875;0.414814815;0.059375;0.096296296
176;0.446354167;0.414814815;0.059895833;0.096296296
177;0.430208333;0.411111111;0.063541667;0.099074074
178;0.430208333;0.411111111;0.063541667;0.099074074
179;0.430208333;0.411111111;0.063541667;0.099074074
180;0.413541667;0.408333333;0.072395833;0.101851852
181;0.4140625;0.408333333;0.071875;0.101851852
182;0.4046875;0.407407407;0.0734375;0.096296296
183;0.4046875;0.407407407;0.0734375;0.096296296
184;0.4046875;0.407407407;0.0734375;0.096296296
185;0.3953125;0.409259259;0.072916667;0.097222222
186;0.3953125;0.409259259;0.072916667;0.097222222
187;0.3921875;0.405555556;0.0671875;0.098148148
188;0.3921875;0.405555556;0.0671875;0.098148148
189;0.392708333;0.405555556;0.066666667;0.098148148
197;0.359375;0.402777778;0.068229167;0.089814815
198;0.359895833;0.402777778;0.068229167;0.089814815
199;0.359375;0.402777778;0.06875;0.089814815
200;0.354166667;0.39537037;0.066666667;0.07962963
201;0.354166667;0.39537037;0.0671875;0.07962963
202;0.350520833;0.391666667;0.066145833;0.075925926
203;0.350520833;0.391666667;0.066145833;0.075925926
204;0.350520833;0.391666667;0.066145833;0.075925926
207;0.346354167;0.387037037;0.066666667;0.075
208;0.346354167;0.387037037;0.066666667;0.075
209;0.346354167;0.387037037;0.066666667;0.075
210;0.346875;0.383333333;0.061458333;0.07962963
211;0.346875;0.383333333;0.0609375;0.078703704
215;0.352083333;0.375;0.052604167;0.071296296
216;0.352083333;0.375;0.052604167;0.071296296
217;0.352604167;0.37037037;0.051041667;0.075
218;0.353125;0.365740741;0.050520833;0.075925926
219;0.353125;0.365740741;0.050520833;0.076851852
220;0.359895833;0.362037037;0.04375;0.064814815
221;0.359375;0.362037037;0.044270833;0.064814815
222;0.365625;0.355555556;0.039583333;0.062037037
223;0.365625;0.355555556;0.039583333;0.062037037
224;0.365625;0.355555556;0.039583333;0.062037037
225;0.369791667;0.35462963;0.038020833;0.061111111
226;0.369791667;0.35462963;0.038020833;0.061111111
227;0.384895833;0.343518519;0.0265625;0.056481481
228;0.385416667;0.343518519;0.026041667;0.055555556
229;0.385416667;0.343518519;0.026041667;0.055555556
230;0.380208333;0.339814815;0.0359375;0.058333333
231;0.3796875;0.339814815;0.036458333;0.058333333
232;0.384375;0.335185185;0.034895833;0.055555556
233;0.384375;0.335185185;0.035416667;0.055555556
234;0.384375;0.334259259;0.035416667;0.056481481
235;0.384895833;0.332407407;0.0359375;0.056481481
236;0.384895833;0.332407407;0.0359375;0.056481481
237;0.384375;0.327777778;0.04375;0.060185185
238;0.384375;0.327777778;0.04375;0.060185185
239;0.384375;0.327777778;0.04375;0.060185185
240;0.392708333;0.319444444;0.0421875;0.063888889
241;0.394791667;0.324074074;0.0390625;0.05462963
242;0.394270833;0.324074074;0.039583333;0.05462963
243;0.398958333;0.318518519;0.043229167;0.057407407
244;0.398958333;0.318518519;0.043229167;0.058333333
245;0.408333333;0.312962963;0.041145833;0.063888889
246;0.408333333;0.312962963;0.041145833;0.062962963
247;0.408333333;0.312962963;0.041145833;0.062962963
248;0.423958333;0.306481481;0.032291667;0.059259259
249;0.4234375;0.306481481;0.0328125;0.059259259
251;0.424479167;0.300925926;0.0421875;0.062037037
252;0.424479167;0.300925926;0.0421875;0.062037037
253;0.428645833;0.296296296;0.0484375;0.066666667
