frame;x1;y1;w;h
1;0.214760638;0.314420804;0.037898936;0.081560284
2;0.216755319;0.313238771;0.039228723;0.082742317
3;0.222074468;0.319148936;0.036569149;0.085106383
4;0.22606383;0.323877069;0.037898936;0.08392435
7;0.236037234;0.338061466;0.033244681;0.081560284
8;0.234707447;0.336879433;0.03856383;0.091016548
10;0.250664894;0.365248227;0.031914894;0.055555556
13;0.262632979;0.373522459;0.050531915;0.079196217
14;0.27393617;0.343971631;0.053191489;0.108747045
16;0.293882979;0.365248227;0.043218085;0.08392435
17;0.310505319;0.372340426;0.043218085;0.075650118
18;0.317819149;0.369976359;0.04587766;0.082742317
19;0.33643617;0.364066194;0.037234043;0.086288416
20;0.34375;0.36643026;0.03856383;0.095744681
21;0.371675532;0.364066194;0.035904255;0.093380615
22;0.382978723;0.365248227;0.037234043;0.095744681
23;0.392952128;0.359338061;0.037234043;0.100472813
24;0.403590426;0.360520095;0.041888298;0.095744681
25;0.424867021;0.359338061;0.041888298;0.094562648
26;0.436170213;0.356973995;0.041888298;0.095744681
27;0.446143617;0.358156028;0.044547872;0.096926714
28;0.454787234;0.360520095;0.046542553;0.085106383
29;0.474069149;0.358156028;0.04587766;0.093380615
30;0.484042553;0.360520095;0.03856383;0.089834515
31;0.496010638;0.361702128;0.036569149;0.078014184
32;0.503989362;0.359338061;0.040558511;0.081560284
33;0.521941489;0.365248227;0.047207447;0.088652482
34;0.529255319;0.364066194;0.039228723;0.082742317
35;0.533909574;0.360520095;0.039228723;0.089834515
36;0.537898936;0.360520095;0.043218085;0.079196217
37;0.549867021;0.356973995;0.039228723;0.101654846
38;0.554521277;0.356973995;0.041888298;0.098108747
39;0.557845745;0.352245863;0.040558511;0.107565012
41;0.575132979;0.358156028;0.035904255;0.102836879
42;0.577792553;0.359338061;0.037234043;0.105200946
43;0.581117021;0.358156028;0.037234043;0.107565012
44;0.582446809;0.354609929;0.03856383;0.111111111
45;0.581781915;0.364066194;0.040558511;0.101654846
46;0.582446809;0.361702128;0.039893617;0.107565012
47;0.578457447;0.362884161;0.046542553;0.108747045
48;0.580452128;0.361702128;0.044547872;0.111111111
49;0.589760638;0.364066194;0.035904255;0.108747045
50;0.584441489;0.36643026;0.041223404;0.106382979
51;0.589095745;0.367612293;0.037234043;0.111111111
52;0.589760638;0.368794326;0.033244681;0.106382979
53;0.588430851;0.390070922;0.027925532;0.082742317
54;0.585771277;0.391252955;0.028590426;0.076832151
56;0.585771277;0.404255319;0.025930851;0.060283688
58;0.581781915;0.410165485;0.025930851;0.061465721
59;0.581781915;0.405437352;0.023271277;0.061465721
60;0.579787234;0.403073286;0.021276596;0.061465721
62;0.570478723;0.38534279;0.027925532;0.088652482
63;0.567154255;0.386524823;0.025930851;0.078014184
64;0.563164894;0.384160757;0.025930851;0.085106383
65;0.554521277;0.380614657;0.03125;0.088652482
66;0.549867021;0.382978723;0.03125;0.081560284
67;0.54587766;0.386524823;0.030585106;0.08392435
68;0.541888298;0.379432624;0.031914894;0.091016548
69;0.535239362;0.387706856;0.025930851;0.073286052
70;0.529920213;0.38179669;0.029255319;0.074468085
71;0.523271277;0.374704492;0.033909574;0.079196217
72;0.518617021;0.375886525;0.031914894;0.080378251
73;0.506648936;0.377068558;0.029920213;0.082742317
74;0.502659574;0.371158392;0.029920213;0.091016548
76;0.492021277;0.36643026;0.03125;0.079196217
77;0.480053191;0.377068558;0.026595745;0.082742317
78;0.472074468;0.362884161;0.028590426;0.096926714
79;0.464095745;0.360520095;0.028590426;0.102836879
80;0.457446809;0.361702128;0.026595745;0.098108747
81;0.440824468;0.36643026;0.029920213;0.101654846
82;0.434175532;0.362884161;0.029255319;0.109929078
83;0.42087766;0.365248227;0.057845745;0.117021277
84;0.418882979;0.36643026;0.03125;0.105200946
85;0.398271277;0.371158392;0.042553191;0.11465721
86;0.395611702;0.378250591;0.03125;0.094562648
87;0.388297872;0.379432624;0.035239362;0.094562648
88;0.378324468;0.369976359;0.039228723;0.106382979
170;0.25731383;0.437352246;0.048537234;0.154846336
171;0.265292553;0.425531915;0.046542553;0.147754137
172;0.27393617;0.43144208;0.042553191;0.119385343
173;0.293218085;0.425531915;0.037234043;0.11820331
174;0.301196809;0.421985816;0.035239362;0.094562648
175;0.307845745;0.43144208;0.033909574;0.095744681
176;0.311170213;0.430260047;0.03856383;0.101654846
177;0.325132979;0.432624113;0.036569149;0.082742317
178;0.328457447;0.426713948;0.040558511;0.088652482
179;0.335771277;0.414893617;0.039893617;0.101654846
180;0.341755319;0.426713948;0.037234043;0.082742317
