frame,x1,y1,w,h
1.0,721.0,372.0,54.0,121.0
2.0,721.0,372.0,52.0,141.0
3.0,720.0,374.0,51.0,123.0
4.0,715.0,374.0,58.0,119.0
5.0,711.0,375.0,59.0,127.0
6.0,711.0,375.0,58.0,134.0
7.0,707.0,376.0,60.0,136.0
8.0,704.0,376.0,57.0,134.0
9.0,698.0,373.0,63.0,111.0
10.0,702.0,375.0,58.0,116.0
11.0,700.0,370.0,56.0,129.0
12.0,698.0,376.0,57.0,122.0
13.0,698.0,375.0,56.0,111.0
14.0,694.0,376.0,57.0,110.0
15.0,692.0,375.0,60.0,108.0
16.0,690.0,375.0,57.0,110.0
17.0,690.0,373.0,55.0,109.0
18.0,687.0,371.0,57.0,113.0
19.0,683.0,370.0,61.0,122.0
20.0,680.0,367.0,57.0,112.0
21.0,677.0,368.0,56.0,106.0
22.0,677.0,369.0,53.0,106.0
23.0,676.0,369.0,52.0,101.0
28.0,667.0,373.0,54.0,103.0
29.0,666.0,375.0,53.0,95.0
30.0,669.0,377.0,48.0,93.0
31.0,669.0,377.0,46.0,94.0
32.0,669.0,378.0,44.0,97.0
33.0,669.0,382.0,45.0,93.0
34.0,670.0,383.0,43.0,88.0
35.0,671.0,385.0,43.0,88.0
36.0,671.0,387.0,41.0,98.0
37.0,670.0,389.0,41.0,102.0
38.0,670.0,392.0,41.0,102.0
39.0,670.0,395.0,41.0,96.0
40.0,670.0,397.0,39.0,97.0
41.0,669.0,397.0,41.0,104.0
42.0,668.0,399.0,42.0,97.0
43.0,669.0,401.0,42.0,89.0
44.0,668.0,400.0,43.0,95.0
45.0,669.0,404.0,41.0,88.0
46.0,670.0,404.0,38.0,85.0
47.0,668.0,403.0,44.0,90.0
48.0,668.0,405.0,41.0,89.0
51.0,666.0,404.0,43.0,93.0
52.0,668.0,410.0,40.0,73.0
53.0,667.0,404.0,40.0,99.0
54.0,664.0,405.0,43.0,98.0
55.0,667.0,406.0,40.0,100.0
56.0,664.0,405.0,43.0,104.0
59.0,664.0,407.0,38.0,82.0
63.0,657.0,408.0,39.0,73.0
64.0,657.0,411.0,37.0,67.0
65.0,657.0,411.0,36.0,71.0
66.0,656.0,411.0,37.0,69.0
68.0,652.0,417.0,37.0,76.0
69.0,653.0,418.0,35.0,75.0
70.0,651.0,419.0,35.0,71.0
71.0,648.0,422.0,36.0,77.0
72.0,646.0,425.0,37.0,85.0
73.0,646.0,427.0,36.0,82.0
74.0,644.0,430.0,36.0,77.0
75.0,644.0,435.0,34.0,79.0
76.0,641.0,437.0,36.0,84.0
77.0,639.0,439.0,37.0,87.0
78.0,639.0,441.0,34.0,86.0
79.0,639.0,445.0,34.0,77.0
80.0,638.0,446.0,33.0,73.0
81.0,637.0,451.0,32.0,74.0
82.0,631.0,452.0,37.0,82.0
83.0,633.0,455.0,36.0,70.0
84.0,631.0,457.0,38.0,68.0
85.0,612.0,457.0,56.0,100.0
86.0,633.0,465.0,33.0,69.0
87.0,630.0,467.0,34.0,85.0
89.0,615.0,467.0,50.0,105.0
90.0,610.0,470.0,56.0,107.0
91.0,611.0,472.0,50.0,104.0
98.0,587.0,483.0,68.0,121.0
100.0,579.0,487.0,74.0,119.0
101.0,618.0,490.0,30.0,60.0
102.0,559.0,490.0,95.0,127.0
103.0,546.0,479.0,107.0,143.0
104.0,554.0,482.0,99.0,143.0
111.0,597.0,488.0,48.0,58.0
112.0,609.0,485.0,34.0,56.0
113.0,611.0,488.0,30.0,51.0
114.0,613.0,488.0,26.0,60.0
131.0,607.0,503.0,31.0,79.0
132.0,602.0,508.0,35.0,69.0
133.0,605.0,510.0,32.0,61.0
134.0,604.0,517.0,34.0,65.0
137.0,581.0,533.0,55.0,69.0
140.0,609.0,553.0,28.0,73.0
142.0,611.0,567.0,27.0,61.0
144.0,611.0,581.0,28.0,57.0
145.0,603.0,585.0,37.0,68.0
146.0,612.0,588.0,27.0,53.0
147.0,608.0,591.0,35.0,62.0
148.0,577.0,590.0,65.0,79.0
149.0,579.0,593.0,63.0,78.0
150.0,614.0,594.0,27.0,59.0
151.0,595.0,593.0,51.0,76.0
152.0,616.0,588.0,26.0,59.0
153.0,594.0,586.0,50.0,79.0
156.0,605.0,567.0,40.0,70.0
157.0,617.0,554.0,28.0,66.0
