Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Ski01,3840,re3,0.4,0.1,0.0024,1.0,1.0,1.0,0.0,0.6877,1,0,0,0.94,0.0,5.14,0,0,1352,0,0,1352,1353.0,1352
Ski02,1920,re3,0.4,0.1,0.0021,1.0,1.0,1.0,0.0,0.7728,1,0,0,1.0,0.0,10.27,0,0,601,0,0,601,602.0,601
Ski03,1920,re3,0.4,0.1,0.0043,1.0,1.0,1.0,0.0,0.6849,1,0,0,0.95,0.0,9.97,0,0,1113,0,0,1113,1114.0,1113
Ski04,1920,re3,0.4,0.1,0.0141,1.0,1.0,1.0,0.0,0.4384,0,1,0,0.52,0.0,10.41,0,0,253,0,0,253,254.0,253
Snowboard01,1504,re3,0.4,0.1,0.0089,1.0,1.0,1.0,0.0,0.6041,1,0,0,0.9,0.0,12.0,0,0,112,0,0,112,113.0,112
Sup01,1504,re3,0.4,0.1,0.0027,1.0,1.0,0.9812,0.0188,0.7556,1,0,0,1.0,0.0,11.79,7,0,365,0,0,365,373.0,365
Surf01,1504,re3,0.4,0.1,0.3952,0.2009,0.2009,0.1746,0.8244,0.1263,0,0,1,0.16,0.8,12.21,105,557,140,0,0,697,803.0,697
Wake01,1920,re3,0.4,0.1,0.0841,0.7841,0.7841,0.7841,0.2156,0.5075,0,1,0,0.68,0.22,10.6,0,163,592,0,0,755,756.0,755
Car01,1504,re3,0.4,0.1,0.0063,1.0,1.0,1.0,0.0,0.8779,1,0,0,1.0,0.0,11.82,0,0,156,0,0,156,157.0,156
Human01,1504,re3,0.4,0.1,0.0056,1.0,1.0,0.7975,0.2,0.6961,1,0,0,0.98,0.0,11.72,16,0,63,0,0,63,80.0,63
Slalom01,1504,re3,0.4,0.1,0.1407,0.3636,0.3636,0.3636,0.63,0.1558,0,1,0,0.21,0.64,12.28,0,63,36,0,0,99,100.0,99
Bike02,1504,re3,0.4,0.1,0.0026,1.0,1.0,1.0,0.0,0.7957,1,0,0,1.0,0.0,11.53,0,0,98,0,0,98,99,98
Bike03,1504,re3,0.4,0.1,0.0191,1.0,1.0,0.7865,0.2111,0.5683,1,0,0,0.89,0.0,11.83,19,0,70,0,0,70,90,70
Bike04,1504,re3,0.4,0.1,0.004,1.0,1.0,1.0,0.0,0.6551,1,0,0,1.0,0.0,8.93,0,0,94,0,0,94,95,94
Bike05,1504,re3,0.4,0.1,0.0073,1.0,1.0,1.0,0.0,0.731,1,0,0,1.0,0.0,10.59,0,0,157,0,0,157,158,157
Bike07,1504,re3,0.4,0.1,0.004,1.0,1.0,0.973,0.0267,0.7297,1,0,0,1.0,0.0,11.18,2,0,72,0,0,72,75,72
Bike08,1920,re3,0.4,0.1,0.029,1.0,1.0,0.9964,0.0036,0.5348,1,0,0,0.81,0.0,10.32,2,0,556,0,0,556,559,556
Bike09,1920,re3,0.4,0.1,0.187,0.5752,0.5752,0.4472,0.5515,0.3048,0,1,0,0.46,0.42,10.3,97,144,195,0,0,339,437,339
